seed,entry,category,transition_count,ebrem_transition_count,ebrem_step_count,max_frac,sum_loss_GeV,cumulative_frac,lcio_residual_pct,gsf_residual_pct
63,8,hard_ebrem,232,2,2,0.10626440067197,0.21339726448059082,0.10629311886449322,-10.473497307258912,4.953072604289557
63,9,light_ebrem,232,1,1,0.020252610186412175,0.04062855243682861,0.020252610186412223,-1.911175783473023,0.4517870530223312
64,0,hard_ebrem,233,3,3,0.37274949048100164,1.052046775817871,0.5255755645042004,-52.87310461730269,-52.88890486380095
64,1,light_ebrem,232,2,2,0.003085549334056877,0.010699987411499023,0.005331772442649707,-0.4664701689946929,-0.1605026022340357
64,2,hard_ebrem,233,1,1,0.23039018079223522,0.46206092834472656,0.23039018079223528,-0.013015611513289298,0.33825603758847544
64,3,no_ebrem,231,0,0,0.0,0.0,0.0,0.05062649264693809,0.5135306904182828
64,4,no_ebrem,233,0,0,0.0,0.0,0.0,-0.03315724396025665,0.0468943175809708
64,5,light_ebrem,233,1,1,0.00015888304152290048,0.00031876564025878906,0.00015888304152289479,-0.029423546383911158,0.8797104986343534
64,6,light_ebrem,232,1,1,0.0033562472035235723,0.006731510162353516,0.0033562472035235658,0.03275319235023456,0.14944345831115846
64,7,no_ebrem,232,0,0,0.0,0.0,0.0,-0.018210908047376132,0.2197743327382194
64,8,light_ebrem,233,1,1,0.000524454675927792,0.0010516643524169922,0.0005244546759277657,0.15224181220508992,0.2894423018445204
64,9,no_ebrem,232,0,0,0.0,0.0,0.0,-0.09805500060013614,-0.20212799045054192
65,0,hard_ebrem,233,1,1,0.21339609826120567,0.4279402494430542,0.21339609826120565,-0.02706217842164552,0.8622696868191708
65,1,light_ebrem,231,1,1,0.017804675320850404,0.03574478626251221,0.017804675320850394,-1.900867204684952,-1.6569166558031547
65,2,no_ebrem,233,0,0,0.0,0.0,0.0,-0.051466224624787456,-0.003798359745207606
65,3,light_ebrem,232,1,1,5.4126176104282784e-05,0.00010824203491210938,5.4126176104229984e-05,-0.42641186507361284,-0.02237895379376776
65,4,no_ebrem,231,0,0,0.0,0.0,0.0,-0.09209163188211754,-0.030866190271052862
65,5,no_ebrem,232,0,0,0.0,0.0,0.0,0.15514965853213827,0.504905420736218
65,6,light_ebrem,232,2,2,0.04981451152722485,0.10221433639526367,0.05092458067860561,-4.938657400947762,2.3911214317991796
65,7,no_ebrem,232,0,0,0.0,0.0,0.0,0.23320202044803437,-0.7275574217347685
65,8,hard_ebrem,394,11,12,0.7498563721427024,1.9355844408273697,0.9664397858912367,-95.5142420202095,-95.52007226914252
65,9,light_ebrem,232,1,1,0.0032523417597165776,0.00652766227722168,0.0032523417597165594,-0.22114950693881302,0.20742923714360295
66,0,light_ebrem,232,1,1,0.001029924404832821,0.0020651817321777344,0.0010299244048328493,-0.009895238817108604,0.5393641422007492
66,1,no_ebrem,232,0,0,0.0,0.0,0.0,-0.05230686202088512,1.0384827538095553
66,2,light_ebrem,232,1,1,0.08439484997508673,0.1693650484085083,0.08439484997508673,-8.079209031696536,0.9156704072326013
66,3,no_ebrem,232,0,0,0.0,0.0,0.0,-0.007513531662356811,0.23067877119834665
66,4,no_ebrem,232,0,0,0.0,0.0,0.0,0.053161159275788475,0.14983950353861727
66,5,light_ebrem,232,1,2,0.0010598994645624996,0.002127408981323242,0.0010598994645625304,-0.08241821881386983,-0.1274414873105326
66,6,no_ebrem,232,0,0,0.0,0.0,0.0,-0.20624846205045588,-0.01075054519251095
66,7,no_ebrem,233,0,0,0.0,0.0,0.0,-0.044799843880166154,0.3135235194093451
66,8,light_ebrem,232,1,1,0.02252898324984513,0.04520916938781738,0.02252898324984509,-2.10119357103925,-0.2966686264856355
66,9,hard_ebrem,233,3,4,0.2946398312682407,0.9336094856262207,0.4652111895728255,-46.64799928966874,-46.65550106875743
67,0,light_ebrem,232,2,2,9.775159440936988e-05,0.00030541419982910156,0.0001522811545799918,-0.034294728406041995,0.4329605540110076
67,1,no_ebrem,233,0,0,0.0,0.0,0.0,-0.08652920974398991,0.28973421533857696
67,2,no_ebrem,232,0,0,0.0,0.0,0.0,-0.00543591727970217,0.15265735836876013
67,3,no_ebrem,233,0,0,0.0,0.0,0.0,-0.28704024008348167,0.9892154752883942
