file_index,event_id,n_comps,n_hits,n_hits_total,charge,gsf_p_header,gsf_chi2_header,gsf_ndf_header,truth_pt,lcio_pt,gsf_pt,truth_eta,lcio_eta,gsf_eta,truth_phi,lcio_phi,gsf_phi,lcio_d0,gsf_d0,lcio_z0,gsf_z0,truth_p,lcio_p,gsf_p,lcio_chi2,lcio_ndf,gsf_chi2,gsf_ndf,splits,reductions,peak_comps,final_comps,best_weight,mean_weight,weight_ratio,max_tX0,total_tX0,entry_index,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
1,91,25,234,234,-1,2.08,0.0,460.0,2.0004,2.0027,2.0024,0.0874,0.0877,-0.2838,-0.1669,-0.1624,-0.7462,-0.0005,22.2208,-0.0062,13.9284,2.008,2.01,2.084,521.1,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0217,91,1,0.00019386346120398024,0.00019386346120398024,0.00038909912109375
1,92,5,232,232,-1,7.18,271.8,456.0,2.0004,1.9991,1.9989,0.0874,0.0874,-1.9519,0.1913,0.1964,0.2848,0.0008,-3.4623,-0.0028,134.6911,2.008,2.007,7.18,419.9,458,271.8,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0195,92,1,0.046438249316423486,0.046438249316423486,0.09310317039489746
1,93,25,234,234,-1,2.01,0.0,460.0,2.0004,1.9978,1.9978,0.0874,0.0871,0.119,0.7568,0.762,-0.1301,0.007,31.6598,0.0009,-0.455,2.008,2.005,2.012,416.1,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0205,93,1,0.00011843478395157092,0.00011843478395157092,0.0002377033233642578
1,94,5,232,232,-1,22.9,247.4,456.0,2.0004,1.8361,1.834,0.0874,0.0881,-3.2162,2.1466,2.1506,2.2605,0.006,-309.0186,0.0022,311.0034,2.008,1.843,22.9,702.9,458,247.4,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0185,94,1,0.08354739017761237,0.08354739017761237,0.16767120361328125
1,97,25,233,233,-1,1.84,0.0,458.0,2.0004,1.8354,1.8354,0.0874,0.0873,0.0765,2.1117,2.1164,1.5433,0.0056,12.0169,0.0058,0.4439,2.008,1.842,1.841,444.1,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,97,2,0.09175142310422824,0.0832617803970297,0.18412625789642334
1,98,25,233,233,-1,2.27,0.0,458.0,2.0004,1.9991,1.9985,0.0874,0.0874,-0.5133,-1.8074,-1.8033,2.1108,0.0024,67.7937,0.0005,10.0602,2.008,2.007,2.268,551.5,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,98,1,0.0004693997004964201,0.0004693997004964201,0.000942230224609375
2,0,25,233,233,-1,2.03,0.0,458.0,2.0004,2.0007,2.0004,0.0874,0.0873,-0.1631,-1.8874,-1.8823,-1.3776,-0.0015,-18.9441,-0.006,9.2133,2.008,2.008,2.027,454.7,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,0,3,0.004117034545685128,0.004079294651918031,0.008248090744018555
2,3,25,233,233,-1,2.05,0.0,458.0,2.0004,1.9828,1.9829,0.0874,0.0876,0.257,-0.8835,-0.8784,-1.3412,0.0016,9.8252,0.0015,-3.3286,2.008,1.99,2.049,414.4,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,3,4,0.02985055567904904,0.017061418787661098,0.05969405174255371
2,4,25,233,233,-1,2.03,0.0,458.0,2.0004,1.9994,1.9995,0.0874,0.0869,0.1615,-1.2308,-1.2253,-2.5866,-0.001,47.3256,-0.0047,-0.8041,2.008,2.007,2.026,465.9,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,4,1,0.0015975299527947184,0.0015975299527947184,0.0032029151916503906
2,5,5,232,232,-1,28.72,384.4,456.0,2.0004,1.8911,1.8903,0.0874,0.0878,3.4129,2.8193,2.8228,0.8567,0.0048,-255.3078,-0.0071,-96.0052,2.008,1.898,28.718,568.6,458,384.4,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0195,5,2,0.05218765827783878,0.052180737360565166,0.10472643375396729
