entry_index,file_index,event_id,tracking_file,material_step_file,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
29,2,29,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.001961551281700502,0.001961551281700502,0.003922224044799805
30,2,30,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0010283404005237973,0.0010283404005237973,0.002062559127807617
32,2,32,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.001301076434762849,0.001301076434762849,0.0026090145111083984
34,2,34,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,5.778411474255396e-05,5.778411474255396e-05,0.00011587142944335938
35,2,35,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.004935481557372223,0.004935481557372223,0.009909629821777344
40,2,40,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.007885648523987099,0.007885648523987099,0.015810728073120117
42,2,42,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0004337798418194705,0.0004337798418194705,0.0008704662322998047
44,2,44,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,2,0.06871914800698553,0.06269651438953316,0.13782358169555664
49,2,49,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0029517958378376674,0.0029517958378376674,0.005917668342590332
51,2,51,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,3,0.009137675848494453,0.006429059369724599,0.01833939552307129
54,2,54,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.07820889048653179,0.07820889048653179,0.156913161277771
65,2,65,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,3,0.022996640778519595,0.022913535976155863,0.04615068435668945
70,2,70,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.05282782987270762,0.05282782987270762,0.10604691505432129
71,2,71,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0015466100737621113,0.0015466100737621113,0.0031011104583740234
73,2,73,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.006674613115489447,0.006674613115489447,0.013396024703979492
74,2,74,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,1.8058360343631286e-05,1.8058360343631286e-05,3.62396240234375e-05
75,2,75,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.00010592432870459856,0.00010592432870459856,0.00021266937255859375
79,2,79,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,2,0.0015798652633434163,0.0015641752175743484,0.0031692981719970703
83,2,83,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,2,0.012269735759033895,0.012261946972523585,0.024602651596069336
89,2,89,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0024145141439715356,0.0024145141439715356,0.004842042922973633
94,2,94,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0003844899280381897,0.0003844899280381897,0.0007719993591308594
95,2,95,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.013604990519439641,0.013604990519439641,0.02728569507598877
98,2,98,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0008741435258381447,0.0008741435258381447,0.0017545223236083984
1,3,1,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.002762715729791143,0.0026580196232222075,0.005541801452636719
4,3,4,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,2.1751750481024956e-05,2.1751750481024956e-05,4.363059997558594e-05
7,3,7,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.016296647123771546,0.016296647123771546,0.0326918363571167
8,3,8,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.01550579853179146,0.01550579853179146,0.031131386756896973
10,3,10,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,1.2187932752372177e-05,1.2187932752372177e-05,2.3603439331054688e-05
11,3,11,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0014546898273404274,0.0014546898273404274,0.002919435501098633
12,3,12,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,6.440919948758062e-05,6.440919948758062e-05,0.00012922286987304688
13,3,13,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.08089495435813976,0.07802468100452598,0.1623600721359253
15,3,15,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.028316378754274174,0.028316378754274174,0.05682110786437988
17,3,17,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.05026085321365148,0.05026085321365148,0.10081362724304199
21,3,21,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0742346112543657,0.0742346112543657,0.14891040325164795
22,3,22,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0001277762234573876,0.0001277762234573876,0.00025653839111328125
25,3,25,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0037309358863474307,0.0037309358863474307,0.007479071617126465
26,3,26,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0031204469885481867,0.0031204469885481867,0.006174564361572266
